ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Position,Speaker,original_data
hau_conversation_1980_01-19,HAU,"Wàllaahì kaa san aikìi nee, na ga koodàyàushee kanàa yawàn aikìi, kuma gàa shi bàn san lookàcîn ba dà kakèe daawôowaa.",,,"By God you know it's the work, I see that you always have a lot of work, and what's more I don't know what time you return home.",,,,,T :,"{""Entry"": ""19"", ""Speaker"": ""T :"", ""Hausa"": ""Wa\u0300llaahi\u0300 kaa san aiki\u0300i nee, na ga kooda\u0300ya\u0300ushee kana\u0300a yawa\u0300n aiki\u0300i, kuma ga\u0300a shi ba\u0300n san looka\u0300ci\u0302n ba da\u0300 kake\u0300e daawo\u0302owaa."", ""English"": ""By God you know it's the work, I see that you always have a lot of work, and what's more I don't know what time you return home.""}"
hau_conversation_1980_01-20,HAU,"Habà Maalàm Tìjjaani, ai naa gayàa makà kàafin ìn soomà aikìi na cèemaa gàa lookàcîn dà zân jee aikìi, gàa lookàcîn dà zân jee makarantaa.  To shii kai dà kurùm dai ka cèe kâa yii shì, dà gàngan dai kurùm kâa yii shì.",,,"Come on Mr. Tijjani, I told you before I started working the time I would be going to work, and the time I would go to school.  And you just said you would bring her, but you weren't serious.",,,,,A :,"{""Entry"": ""20"", ""Speaker"": ""A :"", ""Hausa"": ""Haba\u0300 Maala\u0300m Ti\u0300jjaani, ai naa gaya\u0300a maka\u0300 ka\u0300afin i\u0300n sooma\u0300 aiki\u0300i na ce\u0300emaa ga\u0300a looka\u0300ci\u0302n da\u0300 za\u0302n jee aiki\u0300i, ga\u0300a looka\u0300ci\u0302n da\u0300 za\u0302n jee makarantaa.  To shii kai da\u0300 kuru\u0300m dai ka ce\u0300e ka\u0302a yii shi\u0300, da\u0300 ga\u0300ngan dai kuru\u0300m ka\u0302a yii shi\u0300."", ""English"": ""Come on Mr. Tijjani, I told you before I started working the time I would be going to work, and the time I would go to school.  And you just said you would bring her, but you weren't serious.""}"
hau_conversation_1980_01-21,HAU,"Bàa hakà ba nèe Maalàm Àbdùrràhman.  Kaa san àbîn dà ya sâa don na san kaa daawoo dàgà aikìi?  Wàtàƙiilà koo kaa gàji, kuma wàtàƙiilà koo dàa maa naa yi makà saa'ìlîn kanàa barcii kàman wàatàu zân tàshee kà dàgà barcii.",,,"That's not so, Mr. Abdurrahman.  You know the reason, even if I knew you'd returned from work?  Perhaps you were tired, or even if I phoned you perhaps you were sleeping, and I would wake you up.",,,,,T :,"{""Entry"": ""21"", ""Speaker"": ""T :"", ""Hausa"": ""Ba\u0300a haka\u0300 ba ne\u0300e Maala\u0300m A\u0300bdu\u0300rra\u0300hman.  Kaa san a\u0300bi\u0302n da\u0300 ya sa\u0302a don na san kaa daawoo da\u0300ga\u0300 aiki\u0300i?  Wa\u0300ta\u0300\u0199iila\u0300 koo kaa ga\u0300ji, kuma wa\u0300ta\u0300\u0199iila\u0300 koo da\u0300a maa naa yi maka\u0300 saa'i\u0300li\u0302n kana\u0300a barcii ka\u0300man wa\u0300ata\u0300u za\u0302n ta\u0300shee ka\u0300 da\u0300ga\u0300 barcii."", ""English"": ""That's not so, Mr. Abdurrahman.  You know the reason, even if I knew you'd returned from work?  Perhaps you were tired, or even if I phoned you perhaps you were sleeping, and I would wake you up.""}"
hau_conversation_1980_01-22,HAU,"Habà, Maalàm Tìjjaani, kai, in kaa tàashee nì zân yi fushii?  Kai maa kaa san in kaa tàashee nì bàa yândà zân iyà yîn fushii.",,,"Come on Mr. Tijjani, would I be angry if you woke me up?  You know I couldn't be angry if you woke me up.",,,,,A :,"{""Entry"": ""22"", ""Speaker"": ""A :"", ""Hausa"": ""Haba\u0300, Maala\u0300m Ti\u0300jjaani, kai, in kaa ta\u0300ashee ni\u0300 za\u0302n yi fushii?  Kai maa kaa san in kaa ta\u0300ashee ni\u0300 ba\u0300a ya\u0302nda\u0300 za\u0302n iya\u0300 yi\u0302n fushii."", ""English"": ""Come on Mr. Tijjani, would I be angry if you woke me up?  You know I couldn't be angry if you woke me up.""}"
hau_conversation_1980_01-23,HAU,"Tôo, sai dai ìn cêe dai sai kà yi manà hàƙurii kèenan.",,,"O.K., then let me say be patient with me.",,,,,T :,"{""Entry"": ""23"", ""Speaker"": ""T :"", ""Hausa"": ""To\u0302o, sai dai i\u0300n ce\u0302e dai sai ka\u0300 yi mana\u0300 ha\u0300\u0199urii ke\u0300enan."", ""English"": ""O.K., then let me say be patient with me.""}"
hau_conversation_1980_01-24,HAU,Kai maa kaa san in dai kaa tàashee nì bàa yândà zân yi fushii.  Kai dai kurùm dai kaa yii shì dà gàngan.,,,You know that I could not be angry if you woke me up.  You just weren't serious.,,,,,A :,"{""Entry"": ""24"", ""Speaker"": ""A :"", ""Hausa"": ""Kai maa kaa san in dai kaa ta\u0300ashee ni\u0300 ba\u0300a ya\u0302nda\u0300 za\u0302n yi fushii.  Kai dai kuru\u0300m dai kaa yii shi\u0300 da\u0300 ga\u0300ngan."", ""English"": ""You know that I could not be angry if you woke me up.  You just weren't serious.""}"
hau_conversation_1980_01-25,HAU,"Aa'àa, bàa wai dà gàngan ba.",,,"No, it's not that I wasn't serious.",,,,,T :,"{""Entry"": ""25"", ""Speaker"": ""T :"", ""Hausa"": ""Aa'a\u0300a, ba\u0300a wai da\u0300 ga\u0300ngan ba."", ""English"": ""No, it's not that I wasn't serious.""}"
hau_conversation_1980_01-26,HAU,"Tôo, yâu saatintà biyu…kuma koo kaa gayàa manà kaa kaawoo tà mù ɗan gaisàa mù tàmbàyee tà yàayàa gidaa Nìijeeriyà, kuma kurùm kaa yi shiruu, habà Maalàm Tijjaani, ai bàa hakà akèe yîI be.  Munàa ƙasàashen wàje nèe fa.",,,"O.K. but it's two weeks now… and did you even tell me or bring her so that we could exchange greetings, and I could ask her news of Nigeria, you said nothing, come on Mr. Tijjani, that's not the way to do things.  And we are far from home too.",,,,,A :,"{""Entry"": ""26"", ""Speaker"": ""A :"", ""Hausa"": ""To\u0302o, ya\u0302u saatinta\u0300 biyu\u2026kuma koo kaa gaya\u0300a mana\u0300 kaa kaawoo ta\u0300 mu\u0300 \u0257an gaisa\u0300a mu\u0300 ta\u0300mba\u0300yee ta\u0300 ya\u0300aya\u0300a gidaa Ni\u0300ijeeriya\u0300, kuma kuru\u0300m kaa yi shiruu, haba\u0300 Maala\u0300m Tijjaani, ai ba\u0300a haka\u0300 ake\u0300e yi\u0302I be.  Muna\u0300a \u0199asa\u0300ashen wa\u0300je ne\u0300e fa."", ""English"": ""O.K. but it's two weeks now\u2026 and did you even tell me or bring her so that we could exchange greetings, and I could ask her news of Nigeria, you said nothing, come on Mr. Tijjani, that's not the way to do things.  And we are far from home too.""}"
hau_conversation_1980_01-27,HAU,"Wàllaahì Maalàm Àbdùrràhman, hakà nee…sai dai kà yi hàƙurii, kaa san koomee, wàllaahì, don dai àbîn dà ya sâa kèenan.  Yàayàa su Farìina kùwa?",,,"By God Mr. Abdurrahman, that's so… just be patient, you know everything, by God, that's the reason.  How are Farina and the family?",,,,,T :,"{""Entry"": ""27"", ""Speaker"": ""T :"", ""Hausa"": ""Wa\u0300llaahi\u0300 Maala\u0300m A\u0300bdu\u0300rra\u0300hman, haka\u0300 nee\u2026sai dai ka\u0300 yi ha\u0300\u0199urii, kaa san koomee, wa\u0300llaahi\u0300, don dai a\u0300bi\u0302n da\u0300 ya sa\u0302a ke\u0300enan.  Ya\u0300aya\u0300a su Fari\u0300ina ku\u0300wa?"", ""English"": ""By God Mr. Abdurrahman, that's so\u2026 just be patient, you know everything, by God, that's the reason.  How are Farina and the family?""}"
hau_conversation_1980_01-28,HAU,Farìina?,,,Farina?,,,,,A :,"{""Entry"": ""28"", ""Speaker"": ""A :"", ""Hausa"": ""Fari\u0300ina?"", ""English"": ""Farina?""}"
hau_conversation_1980_01-29,HAU,…dà yâaraa?,,,…and the children?,,,,,T :,"{""Entry"": ""29"", ""Speaker"": ""T :"", ""Hausa"": ""\u2026da\u0300 ya\u0302araa?"", ""English"": ""\u2026and the children?""}"
hau_conversation_1980_01-30,HAU,Tanàa nan wàllaahì.,,,She's O.K. by God.,,,,,A :,"{""Entry"": ""30"", ""Speaker"": ""A :"", ""Hausa"": ""Tana\u0300a nan wa\u0300llaahi\u0300."", ""English"": ""She's O.K. by God.""}"
hau_conversation_1980_01-31,HAU,Yàayàa yâarân kuma?,,,And how are the kids?,,,,,T :,"{""Entry"": ""31"", ""Speaker"": ""T :"", ""Hausa"": ""Ya\u0300aya\u0300a ya\u0302ara\u0302n kuma?"", ""English"": ""And how are the kids?""}"
hau_conversation_1980_01-32,HAU,"Laafiyàa ƙalau.  Naa sàami, tòo, kwàanàkin baayaa dai mun sàami wàsiiƙàa dàgà gidaa.",,,Just fine.  I got a letter from home a few days ago.,,,,,A :,"{""Entry"": ""32"", ""Speaker"": ""A :"", ""Hausa"": ""Laafiya\u0300a \u0199alau.  Naa sa\u0300ami, to\u0300o, kwa\u0300ana\u0300kin baayaa dai mun sa\u0300ami wa\u0300sii\u0199a\u0300a da\u0300ga\u0300 gidaa."", ""English"": ""Just fine.  I got a letter from home a few days ago.""}"
hau_conversation_1980_01-33,HAU,Allàh?,,,Really?,,,,,T :,"{""Entry"": ""33"", ""Speaker"": ""T :"", ""Hausa"": ""Alla\u0300h?"", ""English"": ""Really?""}"
hau_conversation_1980_01-34,HAU,"Ii, kaa san…",,,"Yes, you know…",,,,,A :,"{""Entry"": ""34"", ""Speaker"": ""A :"", ""Hausa"": ""Ii, kaa san\u2026"", ""English"": ""Yes, you know\u2026""}"
hau_conversation_1980_01-35,HAU,Sunàa nan laafiyàa?,,,Are they in good health?,,,,,T :,"{""Entry"": ""35"", ""Speaker"": ""T :"", ""Hausa"": ""Suna\u0300a nan laafiya\u0300a?"", ""English"": ""Are they in good health?""}"
hau_conversation_1980_01-36,HAU,Laafiyàa ƙalau.,,,Just fine.,,,,,A :,"{""Entry"": ""36"", ""Speaker"": ""A :"", ""Hausa"": ""Laafiya\u0300a \u0199alau."", ""English"": ""Just fine.""}"
hau_conversation_1980_01-37,HAU,"Tôo, maadàllaa.",,,Good.,,,,,T :,"{""Entry"": ""37"", ""Speaker"": ""T :"", ""Hausa"": ""To\u0302o, maada\u0300llaa."", ""English"": ""Good.""}"
hau_conversation_1980_01-38,HAU,"Inàa ƙòoƙarii, yànzu dai inàa shirìi, mài yìwuwaa maa zân tuuràa ta gidaa.",,,"I'm trying, now I'm preparing, it's possible I'll send her home.",,,,,A :,"{""Entry"": ""38"", ""Speaker"": ""A :"", ""Hausa"": ""Ina\u0300a \u0199o\u0300o\u0199arii, ya\u0300nzu dai ina\u0300a shiri\u0300i, ma\u0300i yi\u0300wuwaa maa za\u0302n tuura\u0300a ta gidaa."", ""English"": ""I'm trying, now I'm preparing, it's possible I'll send her home.""}"
hau_conversation_1980_01-39,HAU,"Allàh, af…",,,"Really, well…",,,,,T :,"{""Entry"": ""39"", ""Speaker"": ""T :"", ""Hausa"": ""Alla\u0300h, af\u2026"", ""English"": ""Really, well\u2026""}"
hau_conversation_1980_01-40,HAU,Zàn tuuràa ta gidaa na cèe.,,,I'll send her home I said.,,,,,A :,"{""Entry"": ""40"", ""Speaker"": ""A :"", ""Hausa"": ""Za\u0300n tuura\u0300a ta gidaa na ce\u0300e."", ""English"": ""I'll send her home I said.""}"
hau_conversation_1980_01-41,HAU,Na cèe koo an sàami ràboo nèe?,,,Are you separated?,,,,,T :,"{""Entry"": ""41"", ""Speaker"": ""T :"", ""Hausa"": ""Na ce\u0300e koo an sa\u0300ami ra\u0300boo ne\u0300e?"", ""English"": ""Are you separated?""}"
hau_conversation_1980_01-42,HAU,"Aa tôo, ii, inàa tsàmmaanìi dai, àmmaa koo an sàami ràboo kaa san bài càncantà ba à tuuràa ta gidaa, koo dai waɗansu ɗan màtsalàa…",,,"Well, yes, I think so, but even if we are separated I shouldn't send her home, even if there are problems…",,,,,A :,"{""Entry"": ""42"", ""Speaker"": ""A :"", ""Hausa"": ""Aa to\u0302o, ii, ina\u0300a tsa\u0300mmaani\u0300i dai, a\u0300mmaa koo an sa\u0300ami ra\u0300boo kaa san ba\u0300i ca\u0300ncanta\u0300 ba a\u0300 tuura\u0300a ta gidaa, koo dai wa\u0257ansu \u0257an ma\u0300tsala\u0300a\u2026"", ""English"": ""Well, yes, I think so, but even if we are separated I shouldn't send her home, even if there are problems\u2026""}"
hau_conversation_1980_01-43,HAU,Allàh ba?,,,Really?,,,,,T :,"{""Entry"": ""43"", ""Speaker"": ""T :"", ""Hausa"": ""Alla\u0300h ba?"", ""English"": ""Really?""}"
hau_conversation_1980_01-44,HAU,Yes.,,,Yes.,,,,,A :,"{""Entry"": ""44"", ""Speaker"": ""A :"", ""Hausa"": ""Yes."", ""English"": ""Yes.""}"
hau_conversation_1980_01-45,HAU,"Ii, tôo Allàh yà sâa dai zaa tà jee gidaa tà daawoo laafiyàa.",,,"Yes, well may she go home and return safely.",,,,,T :,"{""Entry"": ""45"", ""Speaker"": ""T :"", ""Hausa"": ""Ii, to\u0302o Alla\u0300h ya\u0300 sa\u0302a dai zaa ta\u0300 jee gidaa ta\u0300 daawoo laafiya\u0300a."", ""English"": ""Yes, well may she go home and return safely.""}"
hau_conversation_1980_01-46,HAU,Zaa tà jee.,,,She will go.,,,,,A :,"{""Entry"": ""46"", ""Speaker"": ""A :"", ""Hausa"": ""Zaa ta\u0300 jee."", ""English"": ""She will go.""}"
hau_conversation_1980_01-47,HAU,Zaa tà daawoo ba?,,,Will she return?,,,,,T :,"{""Entry"": ""47"", ""Speaker"": ""T :"", ""Hausa"": ""Zaa ta\u0300 daawoo ba?"", ""English"": ""Will she return?""}"
hau_conversation_1980_01-48,HAU,"Ii, bà zaa tà wucè watàa ɗaya ba tâa daawoo.",,,"Yes, she won't be gone for more than a month.",,,,,A :,"{""Entry"": ""48"", ""Speaker"": ""A :"", ""Hausa"": ""Ii, ba\u0300 zaa ta\u0300 wuce\u0300 wata\u0300a \u0257aya ba ta\u0302a daawoo."", ""English"": ""Yes, she won't be gone for more than a month.""}"
hau_conversation_1980_01-49,HAU,Tôo.,,,Good.,,,,,T :,"{""Entry"": ""49"", ""Speaker"": ""T :"", ""Hausa"": ""To\u0302o."", ""English"": ""Good.""}"
hau_conversation_1980_01-50,HAU,"Wàatàu àbîn dà ya fàaru shii nèe, àkwai iyàayentà ba?",,,"Well, what happened is this, you know her parents?",,,,,A :,"{""Entry"": ""50"", ""Speaker"": ""A :"", ""Hausa"": ""Wa\u0300ata\u0300u a\u0300bi\u0302n da\u0300 ya fa\u0300aru shii ne\u0300e, a\u0300kwai iya\u0300ayenta\u0300 ba?"", ""English"": ""Well, what happened is this, you know her parents?""}"
hau_conversation_1980_01-51,HAU,Ii.,,,Yes.,,,,,T :,"{""Entry"": ""51"", ""Speaker"": ""T :"", ""Hausa"": ""Ii."", ""English"": ""Yes.""}"
hau_conversation_1980_01-52,HAU,"Wàatau ɗànsu na faarì, shii nèe wàllaahì Allàh ya yi masà ràsuwaa.",,,"Well their first son, by God he died.",,,,,A :,"{""Entry"": ""52"", ""Speaker"": ""A :"", ""Hausa"": ""Wa\u0300atau \u0257a\u0300nsu na faari\u0300, shii ne\u0300e wa\u0300llaahi\u0300 Alla\u0300h ya yi masa\u0300 ra\u0300suwaa."", ""English"": ""Well their first son, by God he died.""}"
hau_conversation_1980_01-53,HAU,Allàh sarkiiǃ,,,Good God!,,,,,T :,"{""Entry"": ""53"", ""Speaker"": ""T :"", ""Hausa"": ""Alla\u0300h sarkii\u01c3"", ""English"": ""Good God!""}"
hau_conversation_1980_01-54,HAU,Allàh ya yi masà ràsuwaa.,,,He died.,,,,,A :,"{""Entry"": ""54"", ""Speaker"": ""A :"", ""Hausa"": ""Alla\u0300h ya yi masa\u0300 ra\u0300suwaa."", ""English"": ""He died.""}"
hau_conversation_1980_01-55,HAU,Allàh sarkiiǃ,,,Good God!,,,,,T :,"{""Entry"": ""55"", ""Speaker"": ""T :"", ""Hausa"": ""Alla\u0300h sarkii\u01c3"", ""English"": ""Good God!""}"
hau_conversation_1980_01-56,HAU,"Tôo, shii nèe ta màatsu ta cèe doolè nee sai taa jee taa gan shì.",,,Well she felt obliged to go and see him.,,,,,A :,"{""Entry"": ""56"", ""Speaker"": ""A :"", ""Hausa"": ""To\u0302o, shii ne\u0300e ta ma\u0300atsu ta ce\u0300e doole\u0300 nee sai taa jee taa gan shi\u0300."", ""English"": ""Well she felt obliged to go and see him.""}"
hau_conversation_1980_01-57,HAU,"Hakà nee, Allàh yà ji ƙanshì.",,,"Of course, may God have mercy on him.",,,,,T :,"{""Entry"": ""57"", ""Speaker"": ""T :"", ""Hausa"": ""Haka\u0300 nee, Alla\u0300h ya\u0300 ji \u0199anshi\u0300."", ""English"": ""Of course, may God have mercy on him.""}"
hau_conversation_1980_01-58,HAU,Doolè sai taa jee…,,,She had to go…,,,,,A :,"{""Entry"": ""58"", ""Speaker"": ""A :"", ""Hausa"": ""Doole\u0300 sai taa jee\u2026"", ""English"": ""She had to go\u2026""}"
hau_conversation_1980_01-59,HAU,…yi musù jànaa'izàa.,,,…to the funeral.,,,,,T :,"{""Entry"": ""59"", ""Speaker"": ""T :"", ""Hausa"": ""\u2026yi musu\u0300 ja\u0300naa'iza\u0300a."", ""English"": ""\u2026to the funeral.""}"
hau_conversation_1980_01-60,HAU,Àhâa.,,,Aha.,,,,,A :,"{""Entry"": ""60"", ""Speaker"": ""A :"", ""Hausa"": ""A\u0300ha\u0302a."", ""English"": ""Aha.""}"
hau_conversation_1980_01-61,HAU,Allàh yà ji ƙanshì.,,,May God have mercy on him.,,,,,T :,"{""Entry"": ""61"", ""Speaker"": ""T :"", ""Hausa"": ""Alla\u0300h ya\u0300 ji \u0199anshi\u0300."", ""English"": ""May God have mercy on him.""}"
hau_conversation_1980_01-62,HAU,Àamin.,,,Amen.,,,,,A :,"{""Entry"": ""62"", ""Speaker"": ""A :"", ""Hausa"": ""A\u0300amin."", ""English"": ""Amen.""}"
hau_conversation_1980_01-63,HAU,Allàh yà gaafàrtaa matà.,,,May God forgive him.,,,,,T :,"{""Entry"": ""63"", ""Speaker"": ""T :"", ""Hausa"": ""Alla\u0300h ya\u0300 gaafa\u0300rtaa mata\u0300."", ""English"": ""May God forgive him.""}"
hau_conversation_1980_01-64,HAU,Àamin.,,,Amen.,,,,,A :,"{""Entry"": ""64"", ""Speaker"": ""A :"", ""Hausa"": ""A\u0300amin."", ""English"": ""Amen.""}"
hau_conversation_1980_01-65,HAU,Allàh yà raamashee shì.,,,May God have mercy on him.,,,,,T :,"{""Entry"": ""65"", ""Speaker"": ""T :"", ""Hausa"": ""Alla\u0300h ya\u0300 raamashee shi\u0300."", ""English"": ""May God have mercy on him.""}"
hau_conversation_1980_01-66,HAU,Àamin.,,,Amen.,,,,,A :,"{""Entry"": ""66"", ""Speaker"": ""A :"", ""Hausa"": ""A\u0300amin."", ""English"": ""Amen.""}"
hau_conversation_1980_01-67,HAU,"Ai kaa san irìn wànnan làabaarìi bâa shi dà daaɗii.  Wani lookàcii gàa shi kanàa can wata ƙasaa da neesà, à zoo à faɗàa mak irìn wànnan.",,,"Well you know that kind of news is not pleasant.  Sometimes there you are in a far off country, and you are told this kind of thing.",,,,,T :,"{""Entry"": ""67"", ""Speaker"": ""T :"", ""Hausa"": ""Ai kaa san iri\u0300n wa\u0300nnan la\u0300abaari\u0300i ba\u0302a shi da\u0300 daa\u0257ii.  Wani looka\u0300cii ga\u0300a shi kana\u0300a can wata \u0199asaa da neesa\u0300, a\u0300 zoo a\u0300 fa\u0257a\u0300a mak iri\u0300n wa\u0300nnan."", ""English"": ""Well you know that kind of news is not pleasant.  Sometimes there you are in a far off country, and you are told this kind of thing.""}"
hau_conversation_1980_01-68,HAU,Wàllaahìǃ,,,That's true.,,,,,A :,"{""Entry"": ""68"", ""Speaker"": ""A :"", ""Hausa"": ""Wa\u0300llaahi\u0300\u01c3"", ""English"": ""That's true.""}"
hau_conversation_1980_01-69,HAU,"Bâa daaɗii, duk sai yà tad dà hankàlinkù.",,,"It's unpleasant, it upsets you.",,,,,T :,"{""Entry"": ""69"", ""Speaker"": ""T :"", ""Hausa"": ""Ba\u0302a daa\u0257ii, duk sai ya\u0300 tad da\u0300 hanka\u0300linku\u0300."", ""English"": ""It's unpleasant, it upsets you.""}"
hau_conversation_1980_01-70,HAU,"Tôo, yàayàa zaa à yi kàm dòn Allàh?  Koo kùwa kawài à cêe Ùbangijì sai idòo.",,,Well what can you do?  We are in God's hands.,,,,,A :,"{""Entry"": ""70"", ""Speaker"": ""A :"", ""Hausa"": ""To\u0302o, ya\u0300aya\u0300a zaa a\u0300 yi ka\u0300m do\u0300n Alla\u0300h?  Koo ku\u0300wa kawa\u0300i a\u0300 ce\u0302e U\u0300bangiji\u0300 sai ido\u0300o."", ""English"": ""Well what can you do?  We are in God's hands.""}"
hau_conversation_1980_01-71,HAU,"Hakà nee.  Kai, hankàlinkà bàa à kwànce ba, ita maa màatankà bàa à kwànce ba.",,,"That's true.  Really, you are upset, and your wife is upset.",,,,,T :,"{""Entry"": ""71"", ""Speaker"": ""T :"", ""Hausa"": ""Haka\u0300 nee.  Kai, hanka\u0300linka\u0300 ba\u0300a a\u0300 kwa\u0300nce ba, ita maa ma\u0300atanka\u0300 ba\u0300a a\u0300 kwa\u0300nce ba."", ""English"": ""That's true.  Really, you are upset, and your wife is upset.""}"
